address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"38, Castle Street, Ashoknagar, Richmond Road, Bangalore",Nossa Goa,Yes,Yes,4.1 /5,300,"+91 9980615061
+91 9789223761",Richmond Road,Casual Dining,"Breakfast Platter, Roast Chicken, Sea Food, Calamari, Waffles, Chorizo Pav, Prawn","Goan, Seafood, Konkan, Desserts","1,000",Delivery
"1st Main, Sudugunda Palya, Near Srinivasa Theatre, BTM, Bangalore",Bake and Juice,Yes,No,3.5 /5,15,+91 9845940476,BTM,Quick Bites,,"Fast Food, North Indian",400,Delivery
"1191, 18th Main, 2nd Cross, 1st Stage, DRC Post, BTM, Bangalore",Tomago Roast,Yes,No,3.5 /5,12,+91 7406935303,BTM,Quick Bites,,"Fast Food, Beverages",400,Delivery
"20th, J cross, Ejipura Rama temple road, Bangalore",Kevins Kitchen,Yes,No,3.7 /5,103,+91 9901170611,Koramangala 6th Block,Quick Bites,"Egg Noodles, Biryani","North Indian, Chinese, Biryani",400,Delivery
"66, 1st Cross Road, KEB Colony, New Gurappana Palya, 1st Stage, BTM Layout, Bangalore",Armaani Caffe,Yes,No,3.5 /5,12,+91 9945756869,BTM,Quick Bites,,Fast Food,250,Delivery
"612, Basil Montana, 4th Floor, Above YES Bank, 80 Feet Road, Koramangala 4th Block, Bangalore",Attic Lounge,Yes,Yes,4.0 /5,1241,,Koramangala 4th Block,Cafe,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Spaghetti",Cafe,700,
 ('Rated 4.0', 'RATED\n  We ordered a plate of potato wedges and a veg delight pizza along with a tropical rush mocktail.\nLoved the pizza and the mocktail, potato wedges were a little too oily though.\nService is good, but pizza takes a lot of time so order it early on.'), ('Rated 3.0'," """"RATED\n  Beautiful place and unique ambience . Food is average here. There is a lot of scope for improvement. Don't try the pizza. Pasta was good. Overall you can try once."""")", ('Rated 4.0', 'RATED\n  Well it was beautiful visting this place to hangout with friends cool ambience maintained clearly,but service is bit low need to be upgraded,\nThe hookah and mocktails was good satisfied the taste buds.'), ('Rated 4.0'," """"RATED\n  It was an accidental visit to this place few days back", ('Rated 3.0'
"476, Opposite BDA Park, KHB Colony, Koramangala 5th Block, Bangalore",Bistro Oui,Yes,Yes,4.1 /5,402,"+91 9535007412
+91 9972815434",Koramangala 5th Block,"Cafe, Bar","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak","1,200",Delivery
"150/9, Shop No 3, 1st B Main, Koramangala 8th Block, Bangalore",Skinz Ooty Chocolate,Yes,No,,0,+91 9632345149,Koramangala 8th Block,Dessert Parlor,,Desserts,200,Delivery
"Forum Mall, Ground Floor, Koramangala 7th Block, Bangalore",Frolic,Yes,No,4.0 /5,34,"+91 9739845089
+91 8217050120",Koramangala 7th Block,Dessert Parlor,,"Juices, Ice Cream",200,Delivery
"6/1, Ejipura Pipeline Road, Ejipura, Bangalore",A3 Nuwang Kitchen,Yes,No,3.7 /5,42,"+91 8892430466
+91 8867915147",Ejipura,Quick Bites,,"Chinese, North Indian",300,Delivery
"157, Sai Krupa, 1St Cross A Main, Btm Layout, 1St Stage BTM, Bangalore",Al-Marhaba Restaurant,Yes,No,NEW,0,+91 9739607369,BTM,Quick Bites,,"Arabian, Chinese, North Indian, Rolls, Momos",400,Delivery
"7, 2nd Cross, Brindavan Nagar, Ist Main Road, BTM, Bangalore",Momo Jojo,Yes,No,3.4 /5,6,+91 8041118539,BTM,Quick Bites,,"Chinese, Tibetan, Momos",300,Delivery
"70, Prem Chambers, Jyothi Nivas Collage Road, Koramangala 5th Block, Bangalore",Potato Bae,Yes,No,4.1 /5,56,+91 9632599997,Koramangala 5th Block,Quick Bites,"Pizza Fries, Almond Shake",Fast Food,500,Delivery
"29, Tavakere Main Road, Behind Forum Mall, Koramangala 7th Block, Bangalore",Patiala House,Yes,No,,0,+91 9448120180,Koramangala 7th Block,"Takeaway, Delivery",,"North Indian, Rolls, Chinese, Biryani",300,Delivery
"Oppsite Kalyan Jewellers, Koramangala 4th Block, Bangalore",Lassi Top,Yes,No,3.2 /5,7,+91 7411157745,Koramangala 4th Block,Beverage Shop,,"Beverages, Ice Cream",200,Delivery
"115,18th Main Road, Indiranagar, Bangalore",iSpice Resto Cafe,Yes,No,3.7 /5,31,"+91 9900069111
+91 8908905540",Indiranagar,Quick Bites,,"North Indian, Chinese, Fast Food",500,Delivery
"112, 6th Cross, 6th Block, Koramangala, Bangalore",Baba Chatkora,Yes,No,4.2 /5,823,"+91 9945640717
+91 9886484223",Koramangala 6th Block,Casual Dining,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap",North Indian,"1,000",
 kulcha chola combos and thick lassi\n\nIt's a very tiny sit down space with jute furniture and stools\nSelf service all the way\n\nBut that doesn't stop this shop from being famously crowded.\n\nWe tried afghani chaap, malai chaap, paneer kulcha and chhola combo and lassi\n\nAll were delishh\n\nFood- 4.5\nService- self\nAmbience- 3 (for the very dilli ki student grunge canteen looks)\n\nOverall," must try!"""")", ('Rated 4.0'," """"RATED\n  Try this outlet at opening day.\nMust say the food was awesome.\nAmbience is impressive and friendly staff.\n\nWe try achari chaap","afgani chaap followed by veg kulcha and paneer thali.\n\nI like achari chaap more than afgani chaap but both are equally soft and melt in mouth.\nVeg kulcha is very crisp and with a generous amount of butter. I don't like chole a lot but paneer gravy is too good. We ended our food with there iconic lassi but it taste like sweet curd not lassi.\n\nIf u r from Delhi and miss chaap in Bangalore u must go and try this place definitely nobody will be disappointe."""")", ('Rated 5.0', 'RATED\n  Food - 5/5\nCost - 5/5\nAmbience - 5/5\nStaff - 5/5\nServices - 4/5\nLocation - 5/5\nCleanliness - 4/5\n\nThe closest I could get to Delhi Soya chaap and Amritsari Kulchas in Bangalore and in some sense they were way ahead of the originals.\n\nSoya chaaps and BC special Kulchas were amazing and so was the thick lassi! The gulab jamun in thali were amazing and the daal makhani was one of the best i had in recent times.\n\nAmazing place for amazing food and amazing punjabi songs. The staff was polite and courteous. Located in Koramangala it is easy accessible.\n\nMUST TRY!'), ('Rated 4.0'," """"RATED\n  This place was previously located in btm", there it was small now it has opened in the heart of city i.e. Kormangala.\nIts bigger now with ample sitting and obviously nice ambiance.The interiors of this place are really good, i think the salt was less in the kulcha or channe or whatever something was missing
"418/2, Green Leaf Layout, 80 Feet Road, Koramangala 4th Block, Bangalore",Pipabu,Yes,No,3.8 /5,75,+91 8043707570,Koramangala 4th Block,Casual Dining,"Pasta, Pizza","Continental, Italian, Chinese",750,Delivery
"1/44, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Bharat Kitchen,Yes,No,3.7 /5,21,+91 8480050000,Koramangala 1st Block,Quick Bites,,"Bengali, Chinese, North Indian, Oriya",300,Delivery
"Near Jyoti Nivas College, 1st Main, Koramangala 5th Block, Bangalore",Bombay Kulfis,Yes,No,3.9 /5,27,+91 8050000532,Koramangala 5th Block,Dessert Parlor,,Ice Cream,200,Delivery
"14, 1st Main Road, Koramangala 1st Block, Bangalore",Ober Cafe,Yes,No,3.5 /5,10,+91 9645262573,Koramangala 1st Block,Quick Bites,,"Fast Food, Desserts",200,Delivery
"203, 1st Main, Koramangala 7th Block, bangalore",Lot Like Crepes,Yes,No,4.6 /5,1026,"+91 9742293475
080 65650566",Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550,Delivery
"Number 15, 4th Main Road, Behind Ayyappan Temple, Besides Nile Residency, BTM",Anvar Bhai's,Yes,No,,0,00 09632780768,BTM,Quick Bites,,North Indian,250,Delivery
"45, Kasthuri Nivasa, 2nd Floor, 19th Main, 2nd Stage, BTM, Bangalore",Cucumber Town,Yes,No,4.2 /5,310,"+91 8884566443
+91 8043365726",BTM,Delivery,"Appam, Chicken Biryani, Kizhi Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam","Kerala, North Indian",600,Delivery
"22/1, 5th Cross, 60 Feet Main Road, Koramangala 5th Block, Bengaluru",FNP Cakes N More,Yes,No,,0,080 43724374,Koramangala 5th Block,Delivery,,Bakery,700,Delivery
"1131/1, 17th Cross, 7th Sector HSR, Bangalore",Davanagere Benne Dose,Yes,No,3.9 /5,106,+91 9916751528,HSR,Quick Bites,Benne Dosa,South Indian,150,Delivery
"Eat Street 900, 80 Feet Road, Venkata Reddy Layout, Venkappa Garden, Koramangala 6th Block, Bangalore",Some Mo',Yes,No,,0,+91 9986809446,Koramangala 6th Block,Food Court,,"Momos, Fast Food",200,Delivery
"5th Cross Road, Sidharata Colony, Koramangala 2nd Block, Behind TVS Showroom, Near Ambedkar Statue, Koramangala 2nd Block, Bangalore",The Kitchen Bandit,Yes,No,3.2 /5,42,+91 7338312145,Koramangala 2nd Block,Delivery,,"Chinese, North Indian, Fast Food",350,Delivery
"8th Cross, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Malabar Treat,Yes,No,3.4 /5,6,"+91 9605022326
+91 9739841454",Koramangala 1st Block,Quick Bites,,"North Indian, Arabian, South Indian, Chinese",500,Delivery
"934, 16th Main Road, Mico Layout, Kuvempu Nagar, 2nd Stage, BTM, Bangalore",Xpress Chai,Yes,No,3.3 /5,6,+91 7676561561,BTM,"Beverage Shop, Quick Bites",,Tea,150,Delivery
"1187, Shop Number 1, Cashser Road, 1St Stage, BTM, Bangalore",Kallummakkaya,Yes,No,,0,+91 9605141138,BTM,Quick Bites,,"South Indian, North Indian",200,Delivery
"1, SJR Primus, 1st Floor, Opposites Forum Mall Signal, Koramangala 7th Block, Bangalore",Harry's Bar + Cafe,Yes,Yes,4.2 /5,1369,"+91 8376863192
+91 9137153743",Koramangala 7th Block,"Casual Dining, Bar","Cocktails, Beer, Onion Rings, Burgers, Margherita Pizza, Mocktails, Veg Nachos","Asian, American, Mexican","1,400",Delivery
"Above indusind Bank, 1st Floor, Jakkasandra, HSR Layout 5th Sector, Koramangala 1st Block, Bangalore",Kettle & Kegs,Yes,No,,0,,Koramangala 1st Block,Delivery,,"Tea, Beverages",200,Delivery
"154, 1st Main, Koramangala 7th Block, Bangalore",Bhaijaan Barbeques,Yes,No,3.4 /5,6,+91 7760749954,Koramangala 7th Block,Quick Bites,,"Mughlai, Arabian, BBQ",200,Delivery
"18th Main, Cashier Layout, Chocolate Factory Road,1st Stage, BTM, Bangalore",Habitts,Yes,No,3.7 /5,61,+91 9916889996,BTM,Quick Bites,Nutella Waffle,"Fast Food, Burger, Italian, Beverages",350,Delivery
"1136, Above Andhra Bank, 17th Cross Road, Muneswara Nagar, Sector 7, HSR, Bangalore",Sector 7 CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,Yes,No,4.3 /5,1105,+91 8041697171,HSR,Cafe,"Pizza, Pancakes, Pasta, Burgers, Buffalo Wings, Peri Peri Chicken Steak, Latte","Cafe, Continental, Pizza, Salad",700,
 ('Rated 5.0', 'RATED\n  We visited Sector 7 cafe for dinner a few days back. We loved the place the moment we stepped into the cafe. The staff is very friendly and prompt with the orders. The menu is decently priced.\nWe ordered the nachos which was on point, loaded with salsa, jalapenos, sour cream and chicken.\nThe Peach ice tea and virgin mojito where delicious with a strong flavor (they dint over do it on the ice or water part)\nPeri peri chicken wings were spicy but that got compensated with their delicious sour cream dip.\nThe last item we order was mac and cheese which was a gooey cheesey goodness!\nWould definitely recommend this place and would love to visit here soon sometime.'), ('Rated 5.0'," """"RATED\n  A nice place to have breakfast at HSR layout.. cosy atmosphere and propmt services have made this place more beautiful. You'll have lots of options to choose from the menu. We tried the Pork Housefull over the breakfast. Went really good along with a cup of ginger tea. Jashh was my food partner over here!"""")", ('Rated 4.0', 'RATED\n  A lip-smacking cafe with a lovely ambiance. We had a burger, pizza, and pasta and all of them were really good. The milkshakes were amazing. The portions are enough. The menu is decently priced. The hospitality is good as well.\n\nWould love to visit here again!'), ('Rated 3.0', to go with the prices.\nSpacious & Comfortable Seating.\nGood for English & Continental Food.\nNot a must
"4/1, 1st Main, Bhuvanappa Layout, Opposite Forum Mall, Hosur Road, Bangalore",Litti Twist,Yes,No,4.2 /5,106,+91 9035810598,Hosur Road,Quick Bites,"Paratha, Liti Chokha, Buttermilk, Tea, Aloo Litti, Raita","Bihari, North Indian",300,Delivery
"248, Krishna Vaibhav Building, 6th Main, 2nd Stage, BTM, Bangalore",Chai Point,Yes,No,4.0 /5,113,+91 8880141000,BTM,"Beverage Shop, Quick Bites","Chai, Masala Tea, Samosa, Banana Cake, Egg Puff, Ginger Tea","Tea, Beverages, Fast Food",250,Delivery
"163, 17th Main C, KHB Colony, Acura Speciality Hospital, Above The White Spa., Koramangala 5th Block, Bangalore",The Enav Bowl,No,No,3.8 /5,20,,Koramangala 5th Block,Quick Bites,,"Healthy Food, Beverages, Mexican, Burger, Italian",,Delivery
"2nd cross, Behind Anjaneya Temple, Opposite Prestige PG, VP Road, Madiwala, BTM, Bangalore",Fitnest,Yes,No,3.2 /5,16,+91 9033435979,BTM,Delivery,,"Healthy Food, North Indian",350,Delivery
"Plot 11, Behind Nasi & Mee, Near Maple Green Deluxe, 80 Feet Road, Koramangala 4th Block, Bangalore",Crown Gold,Yes,No,3.9 /5,49,"+91 9740132143
+91 9945391443",Koramangala 4th Block,Quick Bites,Sea Food,"South Indian, Chinese, Seafood",400,Delivery
"99, 4th B Cross, Koramangala 5th Block, Bangalore",Momo Hut,Yes,No,4.0 /5,685,"+91 9901617606
+91 6360809299",Koramangala 5th Block,Quick Bites,"Noodles, Beef Momos, Chicken Shaptra, Chicken Thukpa, Clear Soup, Beef Momo, Chicken Thupka","Chinese, Tibetan, Momos",250,Delivery
"503, 6th Main, 6th Block, Koramangala 6th Block, Bangalore",Uday Sweets,Yes,No,3.5 /5,34,+91 9449111794,Koramangala 6th Block,Sweet Shop,"Jalebi, Poha, Puri Sabzi","Mithai, Fast Food",250,Delivery
"16/1, 33rd Main Road, 1st Stage, BTM, Bangalore",2nd Home Restaurant,Yes,No,3.7 /5,21,"+91 8296744441
+91 8296644441",BTM,Quick Bites,,"South Indian, North Indian, Chinese",500,Delivery
"Venkatapura Main Road, Koramangala 1st Block, Bengaluru",Salkara Arabian Delight & Bakes,Yes,No,,0,+91 9544923878,Koramangala 1st Block,Quick Bites,,"Arabian, Biryani, Beverages, Rolls",300,Delivery
"80, Boss Square, Ground Floor, 1st Cross, 2nd Main, Vysya Bank Colony, 2nd Stage, BTM, Bangalore",The Cuboidal,Yes,No,3.6 /5,16,"+91 9036606862
+91 9590906862",BTM,Quick Bites,,"Fast Food, Beverages, Sandwich",300,Delivery
"127, 2nd D Main Road, Opposite Corporation Bank, Koramangala 8th Block, Bangalore",Kanchanjunga Kitchen - The Flavour of Hills,Yes,No,,0,+91 7829146199,Koramangala 8th Block,Quick Bites,,"Chinese, Nepalese, Tibetan, Momos",300,Delivery
"32, 18th Main, Off 100 Feet Road, Indiranagar, Bangalore",Little Orissa Restaurant,Yes,No,3.9 /5,349,+91 9740243144,Indiranagar,Casual Dining,"Rasgulla, Mutton Kosha, Fish, Chicken Curry, Egg Tadka, Prawn Curry, Dahi Baigan","Oriya, North Indian, Bengali, Chinese",450,Delivery
"635, 17th Main, 100 Feet Road, 6th Block, Koramangala 6th Block, Bangalore",Falahaar,No,No,3.9 /5,154,"080 65655188
+91 9731555188",Koramangala 6th Block,Quick Bites,"Sabudana Khichdi, Pav Bhaji, Pyaz Kachori, Chole Bhature, Faluda, Malai Ghewar, Lassi","North Indian, Street Food",200,Delivery
"1511, Municipal Khatha, Agara Extension, Sector 1, HSR, Bangalore",Chination,No,No,,0,"+91 9910009994
+91 8750482000",HSR,Delivery,,Chinese,600,Delivery
"40, 1st Avenue Street, Teacher Colony, Jakkasandra, 5th Sector, HSR, Bangalore",GrannyzHut,Yes,No,3.4 /5,8,"+91 9933667582
+91 9620332800",HSR,Quick Bites,,"Bengali, North Indian",350,Delivery
"636, Shri Y K Reddy Pavillion, 17th Main Road, 100 Feet Road, Koramangala 6th Block, Bangalore",Chill-Um Cafe,Yes,Yes,4.1 /5,152,"+91 8310996776
+91 7259466366",Koramangala 6th Block,Quick Bites,"Peri Peri Chicken, Fries, Lemongrass Chicken, Margherita Pizza","Cafe, Chinese, Continental",600,Delivery
"25/1, 21 St Cross, Oppsite Sri Rama Temple, Ejipura, Bangalore",VRS Food Zone,Yes,No,3.3 /5,5,+91 8431114408,Ejipura,Quick Bites,,"Chinese, Fast Food",100,Delivery
"67, 17th B Main, 6th Cross, 6th Block, Koramangala, Bangalore",PORKEATS,No,No,3.4 /5,6,+91 9620785258,Koramangala 6th Block,Quick Bites,,"Goan, Mangalorean",400,Delivery
"80 Feet Road, Above Liberty Showroom, 4th Block, Koramangala 4th Block, Bangalore",MK Dabbawala,Yes,No,3.1 /5,5,"080 41641751
080 41655896",Koramangala 4th Block,Delivery,,North Indian,400,Delivery
"84, 12/22, Madiwala, Hosur Main Road, Bangalore",Durbar Greens Family Restaurant,Yes,No,3.6 /5,10,"+91 8884770798
+91 8048523330",Hosur Road,Casual Dining,,"North Indian, Chinese, South Indian",700,Delivery
"2nd Cross, Koramangala 5th Block, Bangalore",Sky Juice Corner,Yes,No,,0,+91 9972020315,Koramangala 5th Block,Beverage Shop,,Juices,100,Delivery
"3rd Floor, Salarpuriya Tower - II, Near Forum Mall, Koramangala 7th Block, Bangalore",The Vacationer's Cafe,Yes,No,4.1 /5,306,"+91 9663420209
080 43705539",Koramangala 7th Block,Cafe,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican",600,Delivery
"17, SBI Colony Service Road, Koramangala 3rd Block, Bangalore",Mimansa @ Foxtrot,Yes,Yes,4.4 /5,192,"+91 9606485642
+91 9606485641",Koramangala 3rd Block,Cafe,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries",Cafe,"1,000",Delivery
"Eat Street, 900, 80 Feet Main Road, Opp Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",TOKI Taco House,Yes,No,3.6 /5,72,+91 9148819473,Koramangala 6th Block,Quick Bites,"Chicken Nachos, Chicken Tacos, Rice Bowl",Mexican,200,Delivery
Delivery Only,Goodness! Beverages,Yes,No,3.4 /5,4,+91 8197287287,Koramangala,Delivery,,Beverages,250,Delivery
"72, 1st Main, 4th Cross Road, Near HDFC Bank, Koramangala 7th Block, Bangalore",Gods Own Cafe,Yes,No,4.4 /5,384,"+91 9686023641
+91 9980739700",Koramangala 7th Block,Quick Bites,"Appam, Buttermilk, Fry Prawns, Roast Beef, Masala Prawn, Chicken Stew, Murgh Ghee Roast","South Indian, Kerala, Seafood",300,Delivery
"Solitaire, 62, 2nd Floor, 1st A Main, Koramangala 7th Block, Bangalore",Zingron,Yes,No,4.0 /5,515,"080 40997506
+91 9483414002",Koramangala 7th Block,Casual Dining,"Pork Ribs, Smoked Pork, Beef Pickle, Pork Meat, Wine, Pork Momo, Chilli Chicken","Chinese, Naga",750,Delivery
"6F01 Palm Springs, 16 Main, 7 C Cross, Koramangala 4th Block, Bangalore",Brownie Points,Yes,No,3.8 /5,25,+91 9448087587,Koramangala 4th Block,Bakery,,"Bakery, Desserts",300,Delivery
"16th Mian Road, 2nd Stage, BTM, Bangalore",Crepe Nation,Yes,No,3.8 /5,12,+91 8075562611,South Bangalore,Food Truck,,"Fast Food, Desserts",300,Delivery
"122, KHB Colony, Koramangala 5th Block, Bangalore",Kullukki,Yes,No,3.5 /5,9,+91 9188125772,Koramangala 5th Block,Quick Bites,,"Juices, Beverages, Fast Food",400,Delivery
"1/2, Anjaneya Complex, Old Airport Road, Bangalore",Ramji Chaiwale,Yes,No,3.9 /5,122,080 49653336,Old Airport Road,Quick Bites,"Sandwiches, Maggi, Ginger Chai, Samosa, Ginger Tea, Kesar Chai, Masala Chai","Beverages, Fast Food",250,Delivery
"314/1, 3rd Main, 7th Cross, Domlur Layout, Domlur",Nature's Restaurant,Yes,No,3.3 /5,4,+91 9886555747,Domlur,Quick Bites,,"Chinese, Mangalorean, North Indian",300,Delivery
"906, 6th Block, GNR Plaza, Near Sony World Signal, Koramangala 6th Block, Bangalore",Bansuri Sweets,No,No,3.7 /5,73,"080 65336707
+91 7760038803",Koramangala 6th Block,"Sweet Shop, Quick Bites","Thali, Dhokla, Chaat, Samosa, Panipuri, Jalebi, Pav Bhaji","Mithai, North Indian, Street Food",250,
 ('Rated 2.0'," """"RATED\n  Worst! This is the worst food center I have ever went in bengaluru. The food taste is not so good for the money they charge. I tried rasmalai and that too taste awful. No sugar at all. Don't ever walk into this food junction. There are much better fast food centers nearby."""")", ('Rated 3.0', 'RATED\n  Breakfast or evening snacks , for chat lovers , this place gives you food which is of good quality and average quantity for an average price.'), ('Rated 3.5', 'RATED\n  Its a small sweet shop located near to the sony signal. Chaat,golgappas taste better than average. Sweets are well presented in the shop. Taste of sweets are good enough.'), ('Rated 3.0'," """"RATED\n  The quantity of food is ridiculously little for it's price !!!but taste wise good not bad... Seating arrangements are very cramped and it was not very clean when I went there to eat.."""")", ('Rated 2.5'," """"RATED\n  Worst! This is the worst food center I have ever went in bengaluru. The food taste is not so good for the money they charge. I tried rasmalai and that too taste awful. No sugar at all. Don't ever walk into this food junction. There are much better fast food centers nearby."""")"
